id	type	readings	context
l-3678_5	graph	consoil (HM)| conseil (PG)| consel (FRA)	Et je n' oi consel ne aie
l-3678_6	graph	ne (HPVFGARM)| ni (S)	Et je n' oi consel ne aie
l-3678_7	graph	aie (HVFGASRM)| aye (P)	Et je n' oi consel ne aie
l-3679_3	semlex:minor:gramm	de (H)| que (PVRM)	Fors que moi seule qui bien savoie
l-3679_4	graph	moi (HPVFGASR)| moy (M)	Fors que moi seule qui bien savoie
l-3679_6	graph	seule (HPSM)| soule (V)| sole (FGA)	Fors que moi seule qui bien savoie
l-3679_7	graph	qui (HPVFGASM)| ki (R)	Fors que moi seule qui bien savoie
l-3679_9	semlex:minor:syn	bien (FGAS)| de fi (R)	Fors que moi seule qui bien savoie
l-3679_10	semlex:major	disoie (H)| savoie (PVFGASRM)	Fors que moi seule qui bien savoie
l-3680_1	graph	C' (HPVFGASR)| Q' (M)	C' onques vers ma dame n'avoie.
l-3681_2	graph	Traison (HPVFGASR)| Trayson (M)	Traison faite ne pensee 53r°a
l-3681_3	semlex:major	faite (HPGASR)| quise (V)| dite (M)	Traison faite ne pensee 53r°a
l-3681_4	graph	feite (H)| faite (PFASR)| fete (G)	Traison faite ne pensee 53r°a
l-3681_5	graph	pansee (H)| pensee (PVFGASRM)	Traison faite ne pensee 53r°a
l-3682_2	semlex:major	Sire por Deu (H)| Si respondi (PVFGASRM)	Si respondi com esfree
l-3682_3	semlex:minor:gramm	li (A)| com (HVFGPSRM)	Si respondi com esfree
l-3682_4	graph	com (HVF)| comme (PSR)| come (G)| con (M)	Si respondi com esfree
l-3682_5	semlex:minor:syn	esfree (HPFGAM)| non senee (V)| dervee (SR)	Si respondi com esfree
l-3682_6	graph	esfree (HPFGA)| esfreee (M)	Si respondi com esfree
l-3683_2	graph	Tot (HVFGAR)| Tout (PSM)	Tot maintenant sans conseil prendre 218r°b
l-3683_3	graph	sanz (HVGM)| sans (PFASR)	Tot maintenant sans conseil prendre 218r°b
l-3683_4	graph	consoil (H)| conseil (PVGSM)| consel (FAR)	Tot maintenant sans conseil prendre 218r°b
l-3683_5	graph	prendre (HPVGASRM)| prandre (F)	Tot maintenant sans conseil prendre 218r°b
l-3684_4	graph	je (HPGASM)| ge (V)| jo (FR)	Que je m' en feroie desfendre
l-3684_5	graph	an (H)| en (PVFGASRM)	Que je m' en feroie desfendre
l-3684_6	graph	desfandre (HF)| desfendre (PVGASRM)	Que je m' en feroie desfendre
l-3685_2	semlex:minor:gramm	D' (HS)| Par (PVFGARM)	Par .i. chevalier contre trois
l-3685_3	graph	un (HS)| .i. (PVFGARM)	Par .i. chevalier contre trois
l-3685_4	semlex:minor:constrmorph	ancontre (HS)| contre (PVFGARM)	Par .i. chevalier contre trois
l-3685_5	graph	ancontre (H)| encontre (S)	Par .i. chevalier contre trois
l-3685_6	graph	trois (HPVGA)| .iii. (FSRM)	Par .i. chevalier contre trois
l-3686_2	semlex:minor:gramm	Onques (HPVASRMF)| Et (G)	Onques cil ne fu tant cortois
l-3686_4	graph	chil (P)| cil (VGASRMH)| Cil (F)	Onques cil ne fu tant cortois
l-3686_6	graph	fu (HPVFGASR)| fut (M)	Onques cil ne fu tant cortois
l-3686_9	semlex:minor:gramm	pas (G)| onques (F)	Onques cil ne fu tant cortois
l-3686_10	semlex:minor:syn	si (HPVR)| tant (FGASM)	Onques cil ne fu tant cortois
l-3686_11	graph	cortois (HVFGRM)| courtois (PAS)	Onques cil ne fu tant cortois
l-3687_2	graph	Que (HPVGRM)| Qu' (FS)| C' (A)	Que il le deignast refuser
l-3687_3	semlex:minor:gramm	il (HPVFGSRM)| unques (A)	Que il le deignast refuser
l-3687_5	graph	le (HPVFSRM)| li (A)	Que il le deignast refuser
l-3687_7	semlex:minor:syn	deignast (HPFGASRM)| vousist (V)	Que il le deignast refuser
l-3687_8	graph	deignast (HPGM)| daignast (FA)| dennast (S)| dagnast (R)	Que il le deignast refuser
l-3687_9	graph	refuser (HPVFGASM)| reffuser (R)	Que il le deignast refuser
l-3688_2	graph	Ne (HPVGASRM)| N' (F)	Ne resortir ne reuser
l-3688_4	semlex:major	resortir (HPVFASR)| repentir (G)| escondire (M)	Ne resortir ne reuser
l-3688_5	graph	ressortir (HR)| resortir (PVFAS)	Ne resortir ne reuser
l-3688_6	semlex:major	reuser (HVGSR)| esconser (P)| tanser (F)| reverser (A)| fauser (M)	Ne resortir ne reuser
l-3689_1	semlex:minor:gramm	m' en (HFSR)| me (PVGA)	Ne me lut por rien qu' avenist
l-3689_2	graph	en (FSR)| an (H)	Ne me lut por rien qu' avenist
l-3689_3	semlex:major	poi (H)| vaut (P)| lut (VFGASR)	Ne me lut por rien qu' avenist
l-3689_4	graph	por (HVFGAR)| pour (PS)	Ne me lut por rien qu' avenist
l-3689_5	graph	rien (HFAR)| riens (PVGS)	Ne me lut por rien qu' avenist
l-3689_6	graph	qu' (HPGAS)| q' (VF)| c' (R)	Ne me lut por rien qu' avenist
l-3690_2	semlex:major	Ensi a parole (HPVFGASR)| Mes des le premier mot (M)	Ensi a parole me prist
l-3690_3	graph	Ensi (HFASR)| Ainsi (P)| Einsi (V)| Einsint (G)	Ensi a parole me prist
l-3690_4	semlex:major	parole (HPVFGAR)| occoison (S)	Ensi a parole me prist
l-3690_5	graph	prist (HVFGARM)| prinst (PS)	Ensi a parole me prist
l-3691_2	semlex:minor:gramm	Si (HPVFSRM)| Et (G)| Lors (A)	Si me covint d' un chevalier
l-3691_4	graph	covint (HVFGAR)| couvint (PS)| convint (M)	Si me covint d' un chevalier
l-3691_5	semlex:major	d' un chevalier (HPGAMV)| sans atargier (R)	Si me covint d' un chevalier
l-3691_6	semlex:major:gramm	d' un (HPGAMV)| al (F)| au (S)	Si me covint d' un chevalier
l-3691_8	graph	un (HPGAM)| .i. (V)	Si me covint d' un chevalier
l-3692_3	semlex:minor:constrmorph	Encontre (HPVFSRM)| contre (GA)	Encontre .iii. gage baillier
l-3692_4	graph	trois (HPG)| .iii. (VFASRM)	Encontre .iii. gage baillier
l-3693_4	semlex:minor:semsim	.xxx. (H)| .xl. (PVGASRM)| .lx. (F)	par respit de .xl. jours
l-3693_5	graph	jorz (HG)| jours (PSRM)| jors (VFA)	par respit de .xl. jours
l-3694_2	graph	ai (HPVFGASR)| ay (M)	Puis ai este en maintes cors
l-3694_3	semlex:minor:gramm	a (VG)| en (HPFASRM)	Puis ai este en maintes cors
l-3694_4	graph	an (H)| en (PFASRM)	Puis ai este en maintes cors
l-3694_5	graph	maintes (HVFASRM)| mainte (P)| meintes (G)	Puis ai este en maintes cors
l-3694_6	graph	corz (HG)| cours (PSM)| cors (VFAR)	Puis ai este en maintes cors
l-3695_2	semlex:minor:gramm	A (HPVFGSR)| En (AM)	A la cort le roi Artu fui
l-3695_3	graph	cort (HVFGAR)| court (PSM)	A la cort le roi Artu fui
l-3695_4	semlex:minor:gramm	le (HPVGASRM)| al (F)	A la cort le roi Artu fui
l-3695_5	graph	roi (HVFGASR)| roy (PM)	A la cort le roi Artu fui
l-3695_6	graph	Artus (HG)| Artur (PV)| Artu (FASRM)	A la cort le roi Artu fui
l-3696_2	semlex:minor:gramm	N'i (HVFGASRM)| Ne (P)	N'i trovai conseil de nului
l-3696_3	graph	trovai (HVFGR)| trouvai (PASM)	N'i trovai conseil de nului
l-3696_4	graph	consoil (H)| conseil (PVGSM)| consel (FAR)	N'i trovai conseil de nului
l-3696_5	semlex:minor:gramm	en (H)| de (PVFGASRM)	N'i trovai conseil de nului
l-3696_6	graph	nelui (H)| nului (PVFGARM)| nuli (S)	N'i trovai conseil de nului
l-3697_2	semlex:minor:gramm	Ne (HPVFGASM)| N'ainc (R)	Ne ne trovai qui me deist
l-3697_3	semlex:minor:gramm	ne trovai (HFGPVASR)| autresi (M)	Ne ne trovai qui me deist
l-3697_4	semlex:minor:gramm	n'i (HFG)| ne (PVASR)	Ne ne trovai qui me deist
l-3697_5	morsynt	trovai (HVFRPAS)| trove (G)	Ne ne trovai qui me deist
l-3697_6	graph	trovai (HVFR)| trouvai (PAS)	Ne ne trovai qui me deist
l-3697_7	graph	deist (HPVFGAM)| desist (SR)	Ne ne trovai qui me deist
l-3698_3	graph	vos (HVGAR)| vous (PFSM)	de vos chose qui me seist
l-3698_5	graph	chose (HPVG)| cose (FASR)	de vos chose qui me seist
l-3698_6	flex	moi (F)| me (HPVGASRM)	de vos chose qui me seist
l-3698_7	graph	seist (HPVFGM)| sesist (ASR)	de vos chose qui me seist
l-3699_2	semlex:minor:gramm	Car (HPVFASRM)| Que (G)	Car il n'en savoient noveles
l-3699_3	graph	Car (HPVFASR)| Quar (M)	Car il n'en savoient noveles
l-3699_4	graph	noveles (HVFGR)| nouveles (PM)| nouvieles (A)| nouvele (S)	Car il n'en savoient noveles
l-3700_2	graph	messire (HF)| mesire (PGASR)| missire (VM)	Et mesire Gauvains chaeles
l-3700_3	graph	Gauvains (HVAM)| Gavains (PFSR)| Gauveins (G)	Et mesire Gauvains chaeles
l-3700_4	semlex:major	chaeles (HVFGARM)| avecques (P)| seur bele (S)	Et mesire Gauvains chaeles
l-3700_5	graph	chaeles (HVGAM)| caeles (F)| chaieles (R)	Et mesire Gauvains chaeles
l-3701_3	semlex:minor:semsim	frans (HPVFRMAS)| biaux (G)	Li frans li dols ou ert il donques
l-3701_4	graph	frans (HPFRMAS)| franz (V)	Li frans li dols ou ert il donques
l-3701_5	semlex:minor:semsim	dols (HPVFR)| preuz (GMAS)	Li frans li dols ou ert il donques
l-3701_6	graph	dolz (H)| dous (P)| doz (V)| dols (FR)	Li frans li dols ou ert il donques
l-3701_8	graph	ou (HPVFGM)| u (ASR)	Li frans li dols ou ert il donques
l-3701_9	morsynt	ert (HVFSRPG)| est (AM)	Li frans li dols ou ert il donques
l-3701_10	flex	ert (HVFSR)| estoit (PG)	Li frans li dols ou ert il donques
l-3702_1	graph	aie (HFA)| s'aye (PS)| s'aide (VGRM)	A s' s'aide ne failli onques
l-3702_2	graph	failli (HPVGAM)| fali (FS)| falli (R)	A s' s'aide ne failli onques
l-3703_2	graph	Dameisele (H)| Damoisele (PVFASR)| Demoisele (G)| Damoyselle (M)	Damoisele desconseilliee
l-3703_3	graph	desconseilliee (HVGM)| desconseillie (PSR)| desconsillie (FA)	Damoisele desconseilliee
l-3704_1	semlex:major	Que appareillie (HPVFGASRM)| Cil me feist joiant et liee (H)	Que appareillie
l-3704_2	semlex:minor:gramm	Que (PVGASR)| Qu'il (FM)	Que appareillie
l-3704_3	graph	appareillie (PM)| aparelliee (V)| aparillie (FA)| apareilliee (G)| apareillie (S)| aparellie (R)	Que appareillie
l-3705_3	graph	Se (HPVFGARM)| s' (S)	Se je a cort trove l' eusse
l-3705_5	graph	je (HPGAM)| ge (V)| jou (F)| jo (R)	Se je a cort trove l' eusse
l-3705_6	semlex:major	a cort (HPVFGASM)| adont (R)	Se je a cort trove l' eusse
l-3705_7	graph	cort (HVFGA)| court (PSM)	Se je a cort trove l' eusse
l-3705_8	graph	trove (HVFGAR)| trouve (PSM)	Se je a cort trove l' eusse
l-3705_9	graph	eusse (HPVFGAM)| euisse (S)| eusce (R)	Se je a cort trove l' eusse
l-3706_2	morsynt	requerre (HPVFGARM)| requise (S)	Ja requerre ne li seusse
l-3706_3	graph	li (HPVFGASR)| ly (M)	Ja requerre ne li seusse
l-3706_4	semlex:minor:semsim	euisse (S)| seusse (HPVFGARM)	Ja requerre ne li seusse
l-3706_5	graph	seusse (HPVFGA)| seusce (R)| saeusse (M)	Ja requerre ne li seusse
l-3707_2	graph	Riens (HPVSM)| Rien (FGAR)	Riens nule qui me fust vee
l-3707_3	graph	nule (HPVFGASR)| nulle (M)	Riens nule qui me fust vee
l-3707_4	semlex:minor:gramm	me (HPFGASR)| li (V)| onques (M)	Riens nule qui me fust vee
l-3707_5	semlex:major	nee (M)| vee (HPVFGASR)	Riens nule qui me fust vee
l-3707_6	graph	vehee (H)| vee (PFGASR)| vaee (V)	Riens nule qui me fust vee
l-3708_2	graph	Mes (HMVG)| Mais (PFASR)	Mais la roine en a menee
l-3708_3	graph	reine (HG)| royne (PM)| roine (VFASR)	Mais la roine en a menee
l-3708_4	semlex:minor:gramm	est (A)| a (HPVFGSRM)	Mais la roine en a menee
l-3709_2	graph	Uns (HVGR)| Un (P)| .i. (FASM)	Uns chevaliers ce me dist l' en
l-3709_3	graph	chevaliers (HVGASR)| chevalier (PFM)	Uns chevaliers ce me dist l' en
l-3709_4	graph	ce (HVFGASM)| che (P)| co (R)	Uns chevaliers ce me dist l' en
l-3709_5	graph	dit (HVGM)| dist (PFASR)	Uns chevaliers ce me dist l' en
l-3709_7	graph	en (PVFGASR)| an (H)| on (M)	Uns chevaliers ce me dist l' en
l-3710_2	graph	Don (H)| Dont (PVFGASRM)	Dont li rois fist que fors del sen
l-3710_3	graph	rois (HPVFGASR)| roys (M)	Dont li rois fist que fors del sen
l-3710_4	semlex:major	ot grant marrison (M)| fist que fors del sen (PVFGASRH)	Dont li rois fist que fors del sen
l-3710_5	semlex:minor:syn	fors (HVFAS)| hors (PGR)	Dont li rois fist que fors del sen
l-3710_6	graph	del (HFAS)| du (PR)| dou (VG)	Dont li rois fist que fors del sen
l-3710_7	graph	san (H)| sen (PVFGSR)| sens (A)	Dont li rois fist que fors del sen
l-3711_2	graph	Qant (HF)| Quant (PVGASRM)	Quant apres lui l' en envoia
l-3711_4	graph	li (HP)| lui (VFGASR)| luy (M)	Quant apres lui l' en envoia
l-3711_6	semlex:minor:gramm	en (HVSRM)| i (PGA)	Quant apres lui l' en envoia
l-3712_3	semlex:major	Par (R)| Si cuit que (HPVFGASMMod)	Si cuit que Keus la convoia
l-3712_5	semlex:major	Et Kex (H)| Li rois (P)	Si cuit que Keus la convoia
l-3712_6	graph	ce (H)| je (PVM)| Si (FGASMod)	Si cuit que Keus la convoia
l-3712_7	semlex:minor:syn	cuit (HPGFAS)| croi (VM)	Si cuit que Keus la convoia
l-3712_8	graph	cuit (HPG)| quit (F)| cuic (A)| quic (S)	Si cuit que Keus la convoia
l-3712_9	graph	croi (V)| croy (M)	Si cuit que Keus la convoia
l-3712_11	flex	Keu (R)| Keus (VGMFASMod)	Si cuit que Keus la convoia
l-3712_12	graph	Keus (VGM)| Kex (FH)| Kes (AS)| .K. (Mod)	Si cuit que Keus la convoia
l-3712_14	semlex:major	ki apres li mena (R)| la convoia (HPVFGASMMod)	Si cuit que Keus la convoia
l-3712_15	graph	la (VFGH)| le (PASM)| li (Mod)	Si cuit que Keus la convoia
l-3712_16	graph	conveia (Mod)| convoia (HPVFGASM)	Si cuit que Keus la convoia
l-3713_2	semlex:minor:gramm	Apres le (P)| jusqu' au (HVFGASRMMod)	jusqu' au chevalier qui l' enmainne
l-3713_3	semlex:minor:constrmorph	jusqu' (HVGMASMod)| Dusq' (FR)	jusqu' au chevalier qui l' enmainne
l-3713_4	graph	jusqu' (HVGMAS)| jusc' (Mod)	jusqu' au chevalier qui l' enmainne
l-3713_5	graph	Dusq' (F)| Dusc' (R)	jusqu' au chevalier qui l' enmainne
l-3713_6	graph	au (HVGMMod)| al (FASR)	jusqu' au chevalier qui l' enmainne
l-3713_7	graph	chevalier (HPVFGARMMod)| cevelier (S)	jusqu' au chevalier qui l' enmainne
l-3713_8	graph	qui (HPVFGASMMod)| ki (R)	jusqu' au chevalier qui l' enmainne
l-3713_9	graph	l' (HPFGASRMMod)| la (V)	jusqu' au chevalier qui l' enmainne
l-3713_10	semlex:minor:constrmorph	enmainne (HPFGASRMMod)| maine (V)	jusqu' au chevalier qui l' enmainne
l-3713_11	graph	enmainne (HSA)| enmaine (PFMod)| enmoine (G)| emmaine (R)| enmeine (M)	jusqu' au chevalier qui l' enmainne
l-3714_2	graph	S' (HPVGASR)| Si (FMMod)	S' en est entrez en molt grant paine
l-3714_4	graph	an (H)| en (PVFGASR)	S' en est entrez en molt grant paine
l-3714_6	semlex:minor:constrmorph	or (HP)| encor (F)	S' en est entrez en molt grant paine
l-3714_8	graph	entrez (HVGMod)| entres (PASR)| entre (M)	S' en est entrez en molt grant paine
l-3714_9	graph	an (H)| en (PVFGASRMMod)	S' en est entrez en molt grant paine
l-3714_11	graph	molt (VGSRM)| moult (VGSRM)	S' en est entrez en molt grant paine
l-3714_12	semlex:minor:syn	male (A)| grant (HPVFGSRMMod)	S' en est entrez en molt grant paine
l-3714_13	graph	painne (HA)| paine (PVFSRMod)| poine (G)| peine (M)	S' en est entrez en molt grant paine
l-3715_2	graph	Messire (HF)| Mesire (PGASR)| Missires (V)	Mesire Gavains qui la quiert
l-3715_3	graph	Gauvains (HVA)| Gavains (PFSR)| Gauveins (G)	Mesire Gavains qui la quiert
l-3715_4	graph	qui (HPVFGAS)| ki (R)	Mesire Gavains qui la quiert
l-3715_5	graph	la (HVFGA)| le (PSR)	Mesire Gavains qui la quiert
l-3716_2	graph	Ja mes (HVG)| Jammais (P)| Ja mais (FASR)	Ja mais nul jor a sejor n' iert
l-3716_3	semlex:minor:syn	nul (HVFGASR)| .i. (P)	Ja mais nul jor a sejor n' iert
l-3716_4	graph	jor (HVFGAR)| jour (PS)	Ja mais nul jor a sejor n' iert
l-3716_5	semlex:minor:gramm	a (HPVFASR)| en (G)	Ja mais nul jor a sejor n' iert
l-3716_6	semlex:minor:syn	repos (RG)| sejor (HPVFAS)	Ja mais nul jor a sejor n' iert
l-3716_7	graph	sejor (HVA)| sejour (PS)| sojor (F)	Ja mais nul jor a sejor n' iert
l-3716_8	graph	iert (HPVFGAR)| ert (S)	Ja mais nul jor a sejor n' iert
l-3717_2	semlex:minor:syn	Jusque (HGPVS)| Dusq' (FAR)	Jusque a tant qu' il l' avra trovee
l-3717_3	graph	Jusque (HG)| Juques (P)| Jusqu' (VS)	Jusque a tant qu' il l' avra trovee
l-3717_4	graph	Dusq' (F)| Dusqu' (A)| Dusc' (R)	Jusque a tant qu' il l' avra trovee
l-3717_6	graph	qu' (HPFGAS)| que (V)| k' (R)	Jusque a tant qu' il l' avra trovee
l-3717_8	graph	il (HFGSR)| i (PA)	Jusque a tant qu' il l' avra trovee
l-3717_9	graph	avra (HVAG)| ara (PFSR)	Jusque a tant qu' il l' avra trovee
l-3717_10	graph	trovee (HVFGAR)| trouvee (PS)	Jusque a tant qu' il l' avra trovee
l-3718_2	graph	Tote (HVFRA)| Toute (PGS)	Tote la verite provee
l-3718_5	graph	provee (HVFGR)| prouvee (PSA)	Tote la verite provee
l-3719_2	graph	Vos (HVGAR)| Vous (PFS)	Vos ai de m'aventure dite
l-3720_2	graph	Demain (HPVFASR)| Demaint (G)	Demain morrai de mort despite
l-3720_3	graph	morrai (HPVGR)| morai (F)| maurai (A)| mourai (S)	Demain morrai de mort despite
l-3721_1	semlex:minor:gramm	Si (HPVFAR)| Et (G)	Si serai arse sans respit
l-3721_2	graph	sanz (HVG)| sans (PFAR)	Si serai arse sans respit
l-3722_1	graph	Por (HVFGAR)| Pour (P)	Por mal de vos et por despit
l-3722_2	graph	vos (HVGAR)| vous (PF)	Por mal de vos et por despit
l-3722_3	graph	por (HVFGAR)| pour (P)	Por mal de vos et por despit
l-3723_2	graph	Et (HPVFG)| E (A)	Et il respont ja Deu ne place
l-3723_3	semlex:minor:gramm	il (HPFG)| cil (VAR)	Et il respont ja Deu ne place
l-3723_5	graph	Deu (HVFG)| Dix (P)| Diu (A)| Dieu (R)	Et il respont ja Deu ne place
l-3723_6	graph	place (HVFAGR)| plache (P)	Et il respont ja Deu ne place
l-3724_1	graph	Que (HVFGAR)| Qu' (P)	Que l' en por moi nul mal vos face
l-3724_2	semlex:minor:gramm	l' en (HVGAFR)| a vous (P)	Que l' en por moi nul mal vos face
l-3724_4	graph	en (HVGA)| on (FR)	Que l' en por moi nul mal vos face
l-3724_5	graph	por (HVFGAR)| pour (P)	Que l' en por moi nul mal vos face
l-3724_8	graph	vos (HVGAR)| vous (PF)	Que l' en por moi nul mal vos face
l-3724_10	graph	face (HVFGAR)| fache (P)	Que l' en por moi nul mal vos face
l-3725_3	semlex:minor:gramm	que (HPGA)| com (VFR)	Ja tant que je vive n'i morroiz
l-3725_5	semlex:minor:gramm	de (P)| je (HVFGA)	Ja tant que je vive n'i morroiz
l-3725_6	graph	je (HGA)| ge (V)| jo (F)	Ja tant que je vive n'i morroiz
l-3725_7	semlex:major	puise (H)| vive (PVFGAR)	Ja tant que je vive n'i morroiz
l-3725_8	graph	n'i (HPFVA)| ne (GR)	Ja tant que je vive n'i morroiz
l-3725_9	morsynt	morroiz (HPVFGR)| mauras (A)	Ja tant que je vive n'i morroiz
l-3725_10	flex	morroiz (HGF)| morres (PRV)	Ja tant que je vive n'i morroiz
l-3725_11	graph	morroiz (HG)| morrois (F)	Ja tant que je vive n'i morroiz
l-3725_12	graph	morres (PR)| morrez (V)	Ja tant que je vive n'i morroiz
l-3726_2	morsynt	porroiz (HFGPVR)| poras (A)	Demain atendre me porroiz
l-3726_3	flex	porroiz (HGF)| porres (PRV)	Demain atendre me porroiz
l-3726_4	graph	porroiz (HG)| porois (F)	Demain atendre me porroiz
l-3726_5	graph	porres (PR)| porrez (V)	Demain atendre me porroiz
l-3727_1	graph	Apareillie (HGS)| Apareillies (P)| Aparellie (VR)| Aparillie (F)| Aparille (A)	Apareillie lonc ma poissance
l-3727_2	semlex:minor:gramm	lonc (HFGAR)| de (PVS)	Apareillie lonc ma poissance
l-3727_4	graph	puissance (HV)| puissanche (P)| puiscance (F)| poissance (GSR)| possance (A)	Apareillie lonc ma poissance
l-3728_1	semlex:minor:gramm	De (HPFGAR)| Por (V)| A (S)	De metre en vostre delivrance
l-3728_2	graph	metre (HPVFAR)| mestre (G)| mettre (S)	De metre en vostre delivrance
l-3728_3	semlex:minor:gramm	en vostre (HPVGASR)| vous a (F)	De metre en vostre delivrance
l-3728_4	semlex:minor:gramm	en (HPVGA)| a (SR)	De metre en vostre delivrance
l-3728_5	graph	an (H)| en (PVGA)	De metre en vostre delivrance
l-3728_6	graph	delivrance (HVFGSR)| delivranche (P)| dilivrance (A)	De metre en vostre delivrance
l-3729_1	semlex:major	Mon cors si (HPVGASR)| Tot ainsi (F)	Mon cors si com je le doi faire
l-3729_2	graph	com (HVFGAR)| comme (P)| con (S)	Mon cors si com je le doi faire
l-3729_4	graph	je (HGAS)| ge (V)| jo (FR)	Mon cors si com je le doi faire
l-3729_6	graph	feire (H)| faire (PFASR)| fere (VG)	Mon cors si com je le doi faire
l-3730_1	graph	Mes (HVG)| Mais (PFASR)	Mais de conter ne de retraire
l-3730_3	semlex:minor:gramm	ne (HPVGASR)| et (F)	Mais de conter ne de retraire
l-3730_5	graph	retreire (H)| retraire (PFASR)| retrere (VG)	Mais de conter ne de retraire
l-3731_3	graph	genz (HVG)| gens (AS)	As genz qui je sui ne vos chaille
l-3731_5	morsynt	qui (HPVFGAS)| Que (R)	As genz qui je sui ne vos chaille
l-3731_6	graph	je (HPGAS)| ge (V)| jo (FR)	As genz qui je sui ne vos chaille
l-3731_9	semlex:major	onques (F)| venus (R)	As genz qui je sui ne vos chaille
l-3731_11	morsynt	vos (HPFGASR)| me (V)	As genz qui je sui ne vos chaille
l-3731_12	graph	vos (HGAR)| vous (PFS)	As genz qui je sui ne vos chaille
l-3731_13	graph	chaille (HPVG)| caille (FAS)| calle (R)	As genz qui je sui ne vos chaille
l-3732_1	flex	Que (HPVFGAR)| Coi (S)	Que qu' aviegne de la bataille
l-3732_2	graph	qu' (HPVGAS)| q' (F)| c' (R)	Que qu' aviegne de la bataille
l-3732_3	graph	aviengne (PS)| aviegne (VGAR)| aveigne (H)| avigne (F)	Que qu' aviegne de la bataille
l-3732_5	graph	la bataille (HPVFGAS)| le batalle (R)	Que qu' aviegne de la bataille
l-3733_1	graph	Gardez (HVG)| Gardes (PFASR)	Gardes que on ne me connoisse
l-3733_3	semlex:minor:gramm	on (HPFGASR)| nus (V)	Gardes que on ne me connoisse
l-3733_5	graph	en (HG)| on (PFASR)	Gardes que on ne me connoisse
l-3733_7	semlex:minor:gramm	m'i (HR)| me (PVFGAS)	Gardes que on ne me connoisse
l-3733_8	graph	conoisse (HG)| connoisse (PVFA)| connoise (S)| conoisce (R)	Gardes que on ne me connoisse
l-3734_2	graph	Chertes (P)| Certes (VFGASR)	Certes sire por nule angoisse
l-3734_4	graph	por (HVFGAR)| pour (PS)	Certes sire por nule angoisse
l-3734_5	graph	nule (HVFGSR)| nul (P)| nulle (A)	Certes sire por nule angoisse
l-3734_6	graph	angoisse (HPVFGA)| angousse (P)| angoise (S)| angoisce (R)	Certes sire por nule angoisse
l-3735_2	graph	non (HVGSR)| nom (PFA)	Vostre non ne descoverroie
l-3735_3	semlex:minor:gramm	ne (HPVFGAS)| n'i (R)	Vostre non ne descoverroie
l-3735_4	graph	descoverroie (HFG)| descouverroie (PA)| descouvreroie (VS)| descolverroie (R)	Vostre non ne descoverroie
l-3736_2	graph	eincois (HG)| anchois (P)| ancois (FA)| ainscois (R)| Aincois (VS)	La mort eincois la mort en soferroie
l-3736_4	graph	an (H)| en (PVFGASR)	La mort eincois la mort en soferroie
l-3736_5	graph	soferroie (HF)| soufferroie (PG)| souferoie (A)| sofferoie (R)| soufreroie (V)| souffreroie (S)	La mort eincois la mort en soferroie
l-3737_1	semlex:minor:gramm	Des (HVFG)| Puis (PASR)	Des que vos le voles ensi
l-3737_2	graph	Puis (PSR)| Pis (A)	Des que vos le voles ensi
