id	type	readings
l-31_4	graph	Gresse (P)| grece (ACRS)| gresse (B)
l-31_5	graph	ot (ABCPS)| out (R)
l-31_6	graph	chevalerie (ACPS)| cevalerie (B)| chivalerie (R)
l-32_1	morsynt	premier (ABCPR)| premiers (S)
l-33_1	graph	chevalerie (PACS)| cevalerie (B)| chivalerie (R)
l-34_1	graph	Et (ABCPR)| e (S)
l-34_4	graph	clergie (ACPRS)| clerigie (B)
l-34_5	flex	la (ACPRS)| li (B)
l-34_6	graph	some (ABPRS)| somme (C)
l-35_1	morsynt	Qui (ABCPS)| Que (R)
l-35_2	flex	ore (PR)| or (ABCS)
l-35_3	graph	en (BCPRS)| an (A)
l-36_1	graph	Diex (P)| dex (ABCRS)
l-36_2	graph	doinst (P)| doint (ABCRS)
l-36_3	graph	soit (ABCPR)| soyt (S)
l-36_4	semlex:minor:constrmorph	retenue (BCPS)| maintenue (AR)
l-37_1	semlex:minor:gramm	Et (ABPS)| tant (CR)
l-37_2	graph	lius (P)| leus (ACRS)| luis (B)
l-37_3	graph	abelisse (ABP)| embelisse (C)| enbelisse (R)| abellise (S)
l-38_1	semlex:minor:gramm	Tant (ABPS)| si (CR)
l-38_2	semlex:minor:constrmorph	jamais (BCP)| james (AR)| ia (S)
l-39_1	morsynt	onors (ACR)| onor (PB)| ono (S)
l-39_2	graph	onors (R)| enors (A)| ennors (C)
l-39_3	flex	qui (ACPRS)| qu' (B)
l-39_4	semlex:minor:gramm	s'i (ACPR)| issi (B)| i (S)
l-40_1	semlex:major	des l'avoit as Grigois prestee (ABCPR)| dont ele est prisee et dotee (S)
l-40_2	graph	Diex (P)| des (ABCR)
l-40_3	morsynt	as (PAB)| a (CR)
l-40_4	semlex:major	Grigois (PR)| altres (AB)| un roi (C)
l-40_5	graph	Grigois (P)| grejois (R)
l-40_6	graph	altres (A)| altre (B)
l-40_7	semlex:major	prestee (ACR)| paree (B)| donee (P)
l-41_1	semlex:minor:gramm	mes (PRS)| car (AB)| que (C)
l-41_2	graph	Mais (P)| mes (RS)
l-41_3	morsynt	des (ACS)| de (PBR)
l-41_4	semlex:major	grezois (ACPRS)| francois (B)
l-41_5	graph	Grigois (P)| grezois (AC)| gregois (R)| grejois (S)
l-41_6	morsynt	des (ABCPS)| de (R)
l-42_2	morsynt	di (P)| dit (A)| dist (BC)| dirrai (R)| dire (S)
l-42_4	semlex:major	ore (PR)| an mes (AC)| li contes (B)
l-42_5	graph	an (A)| en (C)
l-43_1	graph	aus (PB)| ax (A)| eus (CS)| els (R)
l-43_2	flex	la (ACPR)| li (BS)
l-43_3	graph	remese (ABCPR)| remesse (S)
l-44_2	graph	estainte (ABPSR)| esteinte (C)
l-44_5	graph	brese (ABCPR)| brisee (S)
l-45_1	graph	Crestiiens (P)| crestiens (ACBRS)
l-45_2	graph	commence (PB)| comance (AR)| comence (CS)
l-46_1	flex	com (ABCPR)| come (S)
l-46_2	flex	li (ABP)| l' (CRS)
l-46_3	semlex:major	livres (ABP)| estoire (CRS)
l-46_4	semlex:minor:gramm	nos (APS)| le (BCR)
l-46_5	morsynt	li (B)| le (CR)
l-46_6	graph	raconte (BP)| reconte (ACRS)
l-47_1	morsynt	Qu' (PB)| qui (ACRS)
l-47_3	morsynt	traite (PBCRS)| trez (A)
l-47_4	graph	traite (PBCR)| trete (S)
l-47_6	morsynt	fu (A)| est (CR)
l-48_1	graph	Poissant (PBCR)| puissant (A)| puisant (S)
l-48_2	graph	riquece (P)| richesce (AS)| ricece (B)| richece (C)| richesse (R)
l-48_3	graph	onor (PBRS)| enor (A)| ennor (C)
l-49_1	graph	Gresse (P)| grece (ACRS)| gresce (B)
l-50_1	graph	Empeerris (P)| empereriz (ARS)| empereis (B)| empererriz (C)
l-50_2	graph	ot (ABCPS)| out (R)
l-50_3	semlex:major	molt (BCRPS)| cointe et (A)
l-51_1	graph	emperere (ABCPR)| amperere (S)
l-51_2	graph	.ii. (PBC)| deus (ARS)
l-51_3	graph	enfans (PB)| enfanz (ACRS)
l-52_1	graph	Mais (PB)| mes (ACRS)
l-52_2	graph	ains (PBR)| ainz (A)| einz (CS)
l-52_3	graph	grans (PB)| granz (ACRS)
l-53_1	semlex:major	nessance (ABCPR)| nesauce (S)
l-53_2	graph	naissence (P)| nessance (AC)| neissance (R)
l-53_3	graph	eüst (ABCPR)| ust (S)
l-54_1	morsynt	premiers (ABCPR)| primier (S)
l-54_2	flex	se (PABS)| s' (C)| si (R)
l-54_4	graph	lui (ABP)| li (CRS)
l-55_1	graph	Peüst (PB)| poist (ACRS)
l-55_2	morsynt	chevaliers (PAC)| chevalier (BRS)
l-55_3	graph	chevalier (BS)| chivalier (R)
l-56_1	graph	l' (ABP)| le (CRS)
l-56_2	semlex:minor:semsim	empire (ABP)| roiaume (CRS)
l-56_3	graph	reaume (C)| roiaume (RS)
l-56_4	graph	maintenir (ABPRS)| meintenir (C)
l-57_1	graph	ot (ABCPS)| ou (R)
l-58_1	graph	Alis (ABCPS)| aliz (R)
l-58_2	graph	apeles (PB)| apelez (ACS)| apele (R)
l-58_3	graph	mandres (ABPS)| mendres (C)| maindres (R)
l-59_1	morsynt	Alixandres (PA)| alixandre (BCRS)
l-59_2	morsynt	pere (ABPRS)| peres (C)
l-60_2	semlex:major	tantalis (ABCRMP)| encantalis (S)
l-60_3	graph	Tentalis (P)| tantalis (ABC)| tantaliz (R)
l-60_4	graph	la (ACPRS)| li (B)
l-61_1	morsynt	empereriz (ABCPS)| empereor (R)
l-61_2	graph	empeerris (P)| empereriz (AC)| empereis (B)| empereris (S)
l-61_3	semlex:major	tantalis (PABC)| cantal (S)| et d'aliz (R)
l-61_4	graph	Tentalis (P)| tantalis (ABC)
l-62_2	morsynt	empereor (ABCPS)| empereriz (R)
l-62_3	graph	empereor (CPS)| enpereor (A)| emperor (B)
l-62_4	semlex:major	et d'alis (PABC)| tantaliz (R)| das (S)
l-63_1	semlex:minor:gramm	atant (PAB)| vos (CRS)
l-63_2	semlex:minor:semsim	laisserai (PBACR)| finerai (S)
l-63_3	graph	laisserai (PB)| lesseron (A)| lesserai (C)| lasserai (R)
l-64_1	semlex:major	D' Alixandre (ABCPS)| et apres (R)
l-64_2	morsynt	Alixandre (ABPR)| alixandres (S)
l-64_3	graph	Alixandre (ABP)| alisandre (R)
l-64_4	semlex:minor:semsim	parlerai (PCRS)| conterai (BA)
l-64_5	morsynt	conterai (B)| conteron (A)
l-65_1	semlex:major	corageus (ACBRS)| orgilleus (P)
l-65_2	graph	corageus (AC)| corajos (B)| corrageus (R)| corajeus (S)
l-66_1	flex	Que il (PACS)| qu'il (BR)
l-66_2	graph	daigna (PBS)| deigna (ACR)
l-66_3	graph	chevaliers (PABCS)| chivaliers (R)
l-67_1	graph	en (PBCRS)| an (A)
l-67_2	semlex:minor:gramm	sa (PABCR)| la (S)
l-68_2	semlex:major	Oi (PABR)| or (C)
l-68_6	semlex:major	faire (ABCPR)| fiere (S)
l-68_7	graph	faire (PBR)| feire (A)| fere (C)
l-68_8	graph	mention (PCS)| menssion (A)| mension (B)| mencion (R)
l-69_1	graph	Del (PABR)| dou (CS)
l-69_2	graph	Artu (PBC)| artus (AR)| artruc (S)
l-69_3	graph	lors (PABCR)| lor (S)
l-69_4	semlex:major	regnoit (APBCR)| vivoit (S)
l-69_5	graph	regnoit (PBCR)| reignoit (A)
l-70_1	graph	Et (PABCR)| e (S)
l-70_2	morsynt	barons (PABCS)| baront (R)
l-70_3	flex	que il (PACS)| qu'il (BR)
l-71_1	graph	En (PBCRS)| an (A)
l-71_2	graph	compagnie (P)| compaignie (ARS)| conpagnie (B)| compeignie (C)
l-71_3	graph	tos (PB)| toz (ARS)| tous (C)
l-71_4	graph	jors (PB)| jorz (ACRS)
l-72_1	graph	Par (ACPRS)| per (B)
l-72_2	semlex:minor:gramm	qu' (PAB)| quoi (CRS)
l-72_3	graph	k' (P)| qu' (AB)
l-72_4	graph	quoi (CR)| quo (S)
l-72_6	morsynt	estoit (ABPR)| ert (S)
l-72_7	semlex:major	doutee (ABCPR)| renome (S)
l-72_8	graph	doutee (PC)| dotee (AB)| dutee (R)
l-72_10	semlex:major	corz (PBACR)| torz (S)
l-72_11	graph	cors (PB)| corz (ACR)
l-73_1	semlex:major	Et renomee (ABCPR)| ererome (S)
l-73_2	semlex:major	par le monde (ABCPR)| pleinode (S)
l-74_1	graph	Comment (PBCS)| comant (A)| coment (R)
l-74_2	semlex:major	que la fin (PABCR)| quel ains (S)
l-74_3	morsynt	li (PCRS)| l'an (A)| i (B)
l-75_1	graph	comment (PC)| comant (AB)| coment (RS)
l-75_2	flex	que (PACR)| qu' (SB)
l-75_6	morsynt	lui (PC)| li (R)| l' (AS)
l-75_7	graph	aviegne (PB)| aveingne (A)| avieigne (C)| aveigne (R)| avigne (S)
l-76_1	graph	rien (PBR)| riens (ACS)
l-76_3	semlex:major	nule (PBCS)| nee (A)
l-76_4	graph	nule (PBC)| nulle (S)
l-76_5	morsynt	le (PBACR)| les (S)
l-76_6	morsynt	le (PABC)| li (R)
l-76_7	flex	l' (P)| le (ABC)
l-76_9	semlex:minor:constrmorph	retiegne (PBRC)| deteingne (SA)
l-76_10	graph	retiegne (PBR)| retieigne (C)
l-76_11	graph	deteingne (A)| desteigne (S)
l-77_1	semlex:major	que aler (BCRPS)| el mont (A)
l-77_2	flex	K' (PC)| que (BRSA)
l-77_3	graph	K' (P)| qu' (C)
l-77_8	flex	ne (PBCRS)| n' (A)
l-77_11	graph	en (BCPS)| an (A)
l-77_12	semlex:major	voille (APCRS)| alt (B)
l-77_14	flex	voille (PCRS)| voist (A)
l-77_13	graph	voelle (P)| vueille (C)| voille (RS)
l-77_15	graph	en (PBCRS)| an (A)
l-77_16	graph	Bretaigne (PRS)| breteingne (A)| bretagne (B)| breteigne (C)
l-78_1	graph	Mais (PBR)| mes (ACS)
l-78_2	graph	ains (PB)| ainz (AR)| einz (CS)
l-78_3	semlex:major	est droiz (ACRSP)| convient (B)
l-78_4	graph	drois (P)| droiz (ACRS)
l-78_5	graph	praigne (P)| preingne (A)| pragne (B)| preigne (CRS)
l-79_1	graph	pere (PABCS)| pierre (R)
l-79_2	flex	que (PACS)| qu' (BR)
l-79_3	graph	en (BCPRS)| an (A)
l-79_4	semlex:major	aille (PABCR)| able (S)
l-80_1	graph	En (PBCR)| an (AS)
l-80_2	graph	Bretaigne (PBRSA)| breteigne (C)
l-80_3	flex	n' (PACRB)| ne (S)
l-80_4	semlex:minor:gramm	n' (PACR)| u (B)
l-80_5	graph	en (PBCRS)| an (A)
l-80_6	graph	Cornuaille (PBR)| cornoaille (AS)| cornoualle (C)
l-81_1	graph	prendre (PBCRS)| prandre (A)
l-82_1	flex	Vait (PR)| va (ABS)| vet (C)
l-82_2	flex	parler (PABCR)| parlar (S)
l-83_1	morsynt	Alixandres (PBR)| alixandre (ACS)
l-83_2	graph	biaus (PCR)| biax (AB)| beauz (S)
l-83_3	graph	prous (PB)| preuz (AC)| proz (R)| prouz (S)
l-84_1	morsynt	Ja (PABCS)| si (R)
l-84_2	graph	dira (PABCS)| dirra (R)
l-84_3	morsynt	quels (PBR)| quex (AC)| qu'il (S)
l-84_4	graph	est (PABCR)| es (S)
l-84_5	morsynt	ses (PACR)| sos (B)| si (S)
l-84_6	semlex:major	vous (PBACR)| vieuz (S)
l-84_7	graph	vous (PB)| veuz (AC)| voz (R)
l-85_1	morsynt	Ne (P)| et (ABCRS)
l-85_2	flex	que (PABCS)| qu' (R)
l-85_3	morsynt	il (PABCR)| li (S)
l-85_4	graph	veut (BPRAC)| vet (S)
l-85_5	graph	veut (PBR)| vialt (A)| velt (C)
l-85_6	graph	faire (PBR)| feire (A)| fere (CS)
l-85_7	semlex:major	et emprendre (ABCRP)| canpandre (S)
l-85_8	graph	emprendre (PBR)| anprandre (A)| enprendre (C)
l-86_1	morsynt	Biaus (PCR)| biau (AS)| biax (B)
l-86_2	graph	honor (PBR)| enor (A)| ennor (C)| onor (S)
l-86_3	graph	aprendre (PBCR)| aprandre (A)| apandre (S)
l-87_1	graph	Et (PABCR)| e (S)
l-87_3	graph	et (PABCR)| e (S)
l-88_1	graph	fait (PBCRS)| fet (A)
l-88_2	graph	querre (PACRS)| quere (B)
l-89_1	graph	je (PACRS)| jo (B)
l-89_2	graph	voel (P)| vuel (A)| voil (BRS)| vueil (C)
l-89_3	graph	doignies (PB)| doingniez (A)| doigniez (CR)| doignez (S)
l-90_2	flex	ne le (PACRS)| nel (B)
l-90_3	flex	me (PACBS)| m' (R)
l-90_5	graph	porloignies (P)| porloigniez (AS)| porlognies (B)| pouloingnie (C)| porloignez (R)
l-91_1	graph	otriier (P)| otroier (ABCRS)
l-91_2	graph	deves (PB)| devez (ACRS)
l-92_1	morsynt	De ce (PABCR)| e (S)
l-92_2	graph	cou (P)| ce (ABCR)
l-92_3	flex	ne (PABCR)| n' (S)
l-92_5	morsynt	cuide (PACB)| quidez (RS)
l-92_6	graph	cuide (PAC)| quide (B)
l-92_7	graph	quidez (R)| cuidiez (S)
l-92_8	semlex:major	grevez (ACRPB)| crevez (S)
l-92_9	graph	greves (P)| grevez (ACRB)
l-93_1	morsynt	empereres (ACPR)| emperere (BS)
l-93_2	graph	emperere (B)| anperere (S)
l-93_3	graph	peu (P)| po (A)| poi (BCRS)
l-94_1	graph	onor (BPR)| enor (A)| ennor (C)| anor (S)
l-94_2	semlex:minor:gramm	sor (PABCR)| sus (S)
l-94_3	graph	tote (PABRS)| toute (C)
l-95_1	semlex:major	Doit (PACR)| velt (B)| voit (S)
l-95_2	semlex:major	voloir (PACSR)| amer (B)
l-95_3	graph	voloir (PACS)| voler (R)
l-95_4	graph	covoitier (PACS)| covoutier (B)| covoiter (R)
l-96_1	graph	cuideroit (PACS)| quideroit (BR)
l-96_2	graph	esploitier (PABCS)| esploiter (R)
l-97_2	graph	Cuideroit (PAC)| quideroit (BR)
l-97_3	semlex:minor:gramm	Et (PAC)| voir (B)| ne (R)
l-98_1	graph	acroissoit (PAB)| acreissoit (C)| acressoit (R)| acroisoit (S)
l-98_2	graph	onor (PBRS)| enor (A)| ennor (C)
l-99_2	morsynt	Biaus (CPAB)| Biau (R)
l-99_3	graph	Biaus (CP)| Biax (AB)
l-99_4	graph	fix (P)| filz (A)| fils (B)| fiuz (C)| fiz (R)
l-99_6	semlex:minor:semsim	fait (ABCPR)| dist (S)
l-99_7	graph	fait (BPR)| fet (AC)
l-99_10	semlex:minor:gramm	je (APRS)| jel (C)
l-99_11	graph	je (APRS)| jo (B)
l-99_12	graph	otroi (ABCPR)| otroy (S)
l-100_1	graph	plaisir (PBR)| pleisir (AS)| plesir (C)
l-101_2	graph	voles (BCP)| volez (ARS)
l-101_4	graph	je (ACPRS)| jo (B)
l-101_5	graph	doigne (CPRS)| doingne (A)| dogne (B)
l-102_1	flex	Or (ABCPS)| Ore (R)
l-102_2	morsynt	fait (P)| faite (ABRSC)
l-102_3	graph	feite (A)| faite (BRS)| fete (C)
l-102_4	graph	besoigne (CPRS)| besoingne (A)| besogne (B)
l-103_1	graph	valles (BP)| vaslez (AR)| vallez (CS)
l-103_2	semlex:minor:gramm	et (BCPRS)| qui (A)
l-103_3	graph	et (BCPR)| e (S)
l-103_5	graph	en (BPRS)| an (A)
l-103_6	morsynt	est (BCPS)| fu (AR)
l-103_7	graph	lies (BP)| liez (ACRS)
l-104_1	semlex:minor:gramm	li (ABCPR)| cist (S)
l-104_2	morsynt	est (PRS)| fu (ABC)
l-105_1	graph	Qu' (AB)| Que (PRSC)
l-105_2	graph	il (ABPRS)| je (C)
l-105_3	morsynt	desire (PC)| desirroit (ARBS)
l-105_4	graph	desire (P)| desirre (C)
l-105_5	graph	desirroit (AR)| desirait (B)| desiroit (S)
l-105_6	semlex:major	a avoir (ABRPC)| au voir (S)
l-106_1	graph	fait (PBS)| fet (CAR)
l-106_2	graph	voles (PB)| volez (ARSC)
l-106_3	flex	savoir (PABSC)| saver (R)
l-107_1	graph	aves (BP)| avez (ACRS)
l-108_1	graph	Je (PACS)| Jo (B)| Ge (R)
l-108_2	semlex:major	voel (PACR)| voi (B)| noil (S)
l-108_3	graph	voel (P)| vuel (A)| vueil (C)| voil (R)
l-108_4	graph	plenté (PBCR)| plante (AS)
l-110_1	graph	Et (PABCR)| E (S)
l-110_2	graph	compaignons (PR)| conpaignons (AB)| compeignons (C)| compaignos (S)
l-111_1	graph	Teus (P)| Tex (ABCS)| Tels (R)
l-111_2	flex	com (PACRB)| come (S)
l-111_3	graph	com (PACR)| con (B)
l-111_5	graph	je (PA)| jo (B)| ge (CR)
l-111_7	morsynt	les (ABCP)| le (S)
l-111_8	graph	volrai (P)| voldrai (A)| vaurai (B)| voudrai (CR)| voudrei (S)
l-111_9	graph	eslire (ACPR)| ellire (B)| esliure (S)
l-112_1	semlex:minor:gramm	Car (PABCR)| Que (S)
l-112_2	graph	Car (PABC)| Kar (R)
l-112_3	graph	voel (PB)| vuel (A)| vueil (C)| voil (RS)
l-112_4	morsynt	vostre (PACRS)| vo (B)
l-112_5	graph	empire (PABCR)| enpire (S)
l-113_1	semlex:major	S' irai (ABCPR)| E veil (S)
l-113_2	graph	irai (ABCP)| irrai (R)
l-113_3	graph	presenter (BCPRS)| presanter (A)
l-113_4	morsynt	mon (PABCR)| lor (S)
l-113_5	graph	service (PB)| servise (ACRS)
l-114_1	graph	Au (PACS)| Al (BR)
l-114_2	graph	Bretaigne (PRS)| bretaingne (A)| bretagne (B)| breteigne (C)
l-114_3	graph	justice (PB)| justise (AS)| joustise (C)| jostise (R)
l-115_1	semlex:major	Por ce (ABCRS)| Proier (P)
l-115_2	graph	chevalier (PAC)| chavalier (BS)| chivalier (R)
l-115_3	morsynt	me (PABCR)| ma (S)
l-116_2	graph	arai (PB)| avrai (ACR)| aurei (S)
l-117_1	graph	hiaume (PABCR)| aume (S)
l-117_2	semlex:major	el cief (ABCPR)| uchie (S)
l-117_3	semlex:minor:gramm	en (PC)| el (ABR)
l-117_5	semlex:minor:gramm	jel (ACP)| jo (BR)
l-117_6	graph	jo (B)| je (R)
l-118_1	semlex:major	que je (PABCR)| tant come (S)
l-118_2	graph	je (PACR)| jo (B)
l-119_1	morsynt	Artus (PACR)| artu (BS)
l-119_2	semlex:major	ceigne (ABCPR)| teigne (S)
l-119_3	graph	caingne (P)| ceingne (A)| caigne (B)| ceigne (CR)
l-120_1	semlex:minor:gramm	se (PABCS)| si (R)
l-120_2	graph	faire (PBCR)| feire (A)| fere (S)
l-120_3	graph	daingne (P)| deingne (A)| dagne (B)| deigne (CR)| daigne (S)
l-121_1	semlex:minor:gramm	Ja (P)| Car (AB)| Que (CRS)
l-121_2	semlex:minor:gramm	d'autrui (ACPRS)| autre (B)
l-121_3	graph	voel (P)| vuel (A)| voil (BR)| vueil (C)| veil (S)
l-121_4	morsynt	armes (PACRS)| arme (B)
l-121_5	graph	prendre (PBCRS)| prandre (A)
l-122_1	morsynt	empereres (ACPR)| amperere (BS)
l-122_2	graph	amperere (B)| anperere (S)
l-122_3	graph	sans (PB)| sanz (ACR)| san (S)
l-122_4	graph	atendre (PBCR)| atandre (AS)
l-123_1	semlex:minor:semsim	Respont (ACRSP)| Li dit (B)
l-123_2	morsynt	Biax (ABPCS)| biau (R)
l-123_3	graph	Biax (ABP)| biauz (CS)
l-123_4	graph	fix (P)| filz (ARS)| fils (B)| fiz (C)
l-123_5	graph	Dieu (P)| deu (ACRSB)
l-123_6	semlex:minor:gramm	nel (PR)| ne (ABCS)
l-124_1	flex	Cis (P)| Cist (ACRS)| Icist (B)
l-124_2	morsynt	vostre (PBRAC)| nostres (S)
l-124_3	morsynt	vostres (AC)| vostre (PBR)
l-124_5	graph	tos (P)| toz (AS)| touz (C)
l-124_6	graph	cuites (P)| quites (ABCRS)
l-125_1	graph	Constantinoble (PRASB)| costentinoble (C)
l-125_2	graph	riche (PACRS)| rice (B)
l-126_1	graph	deves (PB)| devez (ACRS)
l-126_2	semlex:minor:gramm	a (PB)| por (ACRS)
l-126_3	graph	chiche (PACS)| cice (B)| chice (R)
l-127_2	graph	si (PACS)| ci (R)
l-127_3	semlex:minor:semsim	bel (ACPR)| bon (S)
l-127_4	graph	bel (APR)| biau (C)
l-127_5	graph	voel (P)| vuel (A)| vueil (CS)| voil (R)
l-128_1	semlex:major	Par tens (PBCSR)| demain (A)
l-128_2	graph	tans (PB)| tens (CRS)
l-128_3	graph	ferai (PABCR)| ferain (S)
l-130_1	graph	Et (PACRB)| E (S)
l-130_2	morsynt	chevaliers (PAC)| chevalier (BSR)
l-130_3	graph	chevalier (BS)| chivalier (R)
l-130_4	graph	seres (P)| seroiz (ACRS)| sares (B)
l-131_1	graph	Tote (PABRS)| Toute (C)
l-131_2	graph	Gresse (P)| grece (ACR)| gresse (B)| griece (S)
l-131_3	morsynt	ert (PABRS)| est (C)
l-131_4	graph	iert (PA)| ert (BRS)
l-131_5	graph	en (PBCRS)| an (A)
l-132_1	graph	Et (PABCR)| E (S)
l-132_2	semlex:minor:gramm	de (ABCRS)| tos (P)
l-132_3	morsynt	vos (PBRSC)| noz (A)
l-132_4	graph	vos (PBRS)| voz (C)
l-132_5	morsynt	recevrez (A)| recevez (PRCBS)
l-132_6	graph	receves (PB)| recevez (CRS)
l-133_1	semlex:minor:gramm	Si (PABCR)| Einsint (S)
l-133_2	semlex:major	recoivre (ABCPR)| fere (S)
l-133_3	flex	recoivre (PAR)| recovoir (BC)
l-133_4	graph	recovoir (B)| recevoir (C)
l-133_5	morsynt	les (PABCR)| le (S)
l-133_6	graph	deves (P)| devez (ACRS)| deuves (B)
l-134_1	morsynt	Les (PABCR)| Le (S)
l-134_2	morsynt	sairemens (PBACR)| serement (S)
l-134_3	graph	sairemens (PB)| seiremenz (A)| seremenz (CR)
l-134_4	graph	et (PABCR)| e (S)
l-134_5	graph	homages (PABCR)| omages (S)
l-135_1	semlex:minor:gramm	Qui (PACRS)| Se (B)
l-135_2	graph	cou (P)| ce (ABCRS)
l-135_3	morsynt	refuse (PACR)| refuses (B)| refu (S)
l-136_1	graph	valles (PBS)| vaslez (AR)| vallez (C)
l-136_2	graph	entent (PBCRS)| antant (A)
l-136_3	graph	promesse (PACR)| pramesse (B)| prormese (S)
l-137_1	graph	endemain (PRSBC)| andemain (A)
l-137_2	graph	messe (PABCS)| mese (R)
l-138_1	morsynt	velt (ABCRS)| voloit (P)
l-138_2	graph	veut (S)| vialt (A)| velt (BCR)
l-138_3	morsynt	ses (PABCR)| son (S)
l-138_4	morsynt	pere (PBS)| peres (ACR)
l-138_5	semlex:major	adouber (ACPSR)| coroner (B)
l-138_6	graph	adouber (PCR)| adober (AS)
l-139_1	semlex:minor:gramm	Si (P)| Et (ABCRS)
l-139_2	morsynt	Et (ABCR)| E (S)
